0.9481 -0.2175
0.9660 -0.2298
0.9839 -0.2634
1.0017 -0.3119
1.0196 -0.3699
1.0375 -0.4340
1.0554 -0.5022
1.0732 -0.5734
1.0911 -0.6468
1.1090 -0.7221
1.1269 -0.7987
1.1447 -0.8766
1.1626 -0.9555
1.1805 -1.0351
1.1984 -1.1154
1.2163 -1.1961
1.2341 -1.2769
1.2520 -1.3242
1.2699 -1.2611
1.2878 -1.2011
1.3056 -1.1454
1.3235 -1.0955
1.3414 -1.0529
1.3593 -1.0189
1.3772 -0.9948
1.3950 -0.9815
1.4129 -0.9800
1.4308 -0.9681
1.4487 -0.9643
1.4666 -0.9730
1.4844 -0.9940
1.5023 -1.0265
1.5202 -1.0699
1.5381 -1.1230
1.5559 -1.1849
1.5738 -1.2545
1.5917 -1.3309
1.6096 -1.4129
1.6275 -1.4997
1.6453 -1.5897
