0.0000 -2.5061
0.0243 -2.4610
0.0486 -2.4083
0.0729 -2.3489
0.0972 -2.2840
0.1216 -2.2147
0.1459 -2.1420
0.1702 -2.0671
0.1945 -1.9909
0.2188 -1.9144
0.2431 -1.8383
0.2674 -1.7635
0.2917 -1.6907
0.3160 -1.6204
0.3403 -1.5532
0.3646 -1.4661
0.3890 -1.3612
0.4133 -1.2590
0.4376 -1.1598
0.4619 -1.0644
0.4862 -0.9731
0.5105 -0.8863
0.5348 -0.8044
0.5591 -0.7277
0.5834 -0.6563
0.6078 -0.5905
0.6321 -0.5303
0.6564 -0.4758
0.6807 -0.4268
0.7050 -0.3835
0.7293 -0.3457
0.7536 -0.3134
0.7779 -0.2863
0.8022 -0.2643
0.8265 -0.2473
0.8508 -0.2347
0.8752 -0.2262
0.8995 -0.2210
0.9238 -0.2183
0.9481 -0.2175
