#K-Path      Energy-Level
# NKPTS & NBANDS:  80  28
# Band-Index    1
   1.43079    -13.887394
   1.44867    -13.933204
   1.46655    -13.980049
   1.48443    -14.027800
   1.50231    -14.081857
   1.52018    -14.138653
   1.53806    -14.195540
   1.55594    -14.252400
   1.57382    -14.309116
   1.59169    -14.365563
   1.60957    -14.421552
   1.62745    -14.476208
   1.64533    -14.476208
 
 
# Band-Index    4
   1.64533    -14.476027
   1.62745    -14.426808
   1.60957    -14.376539
   1.59169    -14.326074
   1.57382    -14.275602
   1.55594    -14.225262
   1.53806    -14.175186
   1.52018    -14.125499
   1.50231    -14.076326
   1.48443    -14.025271
   1.46655    -13.969026
   1.44867    -13.913243
   1.43079    -13.858059
   1.41292    -13.803609
   1.39504    -13.750028
   1.37716    -13.697455
   1.35928    -13.646031
   1.34141    -13.595895
   1.32353    -13.547181
   1.30565    -13.500021
   1.28777    -13.454541
   1.26989    -13.410862
   1.25202    -13.369102
   1.23414    -13.329360
   1.21626    -13.291736
   1.19838    -13.256313
   1.18051    -13.223160
   1.16263    -13.192345
   1.14475    -13.163916
   1.12687    -13.137909
   1.10899    -13.114356
   1.09112    -13.093271
   1.07324    -13.074674
   1.05536    -13.058563
   1.03748    -13.044940
   1.01961    -13.033804
   1.00173    -13.025148
   0.98385    -13.018970
   0.96597    -13.015262
   0.94809    -13.014028
   0.94809    -13.014028
   0.92378    -13.012007
   0.89947    -13.005943
   0.87516    -12.995838
   0.85085    -12.981691
   0.82654    -12.963508
   0.80223    -12.941290
   0.77792    -12.915040
   0.75361    -12.884761
   0.72930    -12.850461
   0.70499    -12.812144
   0.68068    -12.769816
   0.65637    -12.723483
   0.63206    -12.673149
   0.60775    -12.618829
   0.58344    -12.560529
   0.55913    -12.498259
   0.53482    -12.432028
   0.51051    -12.361849
   0.48620    -12.287733
   0.46189    -12.209696
   0.43758    -12.127750
   0.41327    -12.041910
   0.38896    -11.952199
   0.36465    -11.858629
   0.34034    -11.761224
   0.31603    -11.660006
   0.29172    -11.554995
   0.26741    -11.446219
   0.24310    -11.531182
   0.21879    -11.599549
   0.19448    -11.736034
   0.17017    -11.873395
   0.14586    -12.011173
   0.12155    -12.148949
   0.09724    -12.286339
   0.07293    -12.423007
   0.04862    -12.558642
   0.02431    -12.692967
   0.00000    -12.825728
 
 
# Band-Index    5
   0.00000    -10.258059
   0.02431    -10.407276
   0.04862    -10.553107
   0.07293    -10.695489
   0.09724    -10.834368
   0.12155    -10.969699
