0.0000 0.5845
0.0243 0.5730
0.0486 0.5730
0.0729 0.5858
0.0972 0.6122
0.1216 0.6523
0.1459 0.6320
0.1702 0.5819
0.1945 0.5285
0.2188 0.4705
0.2431 0.4101
0.2674 0.3575
0.2917 0.3143
0.3160 0.2816
0.3403 0.2606
0.3646 0.2526
0.3890 0.2583
0.4133 0.2782
0.4376 0.3124
0.4619 0.3600
0.4862 0.4194
0.5105 0.4877
0.5348 0.5606
0.5591 0.5758
0.5834 0.5475
0.6078 0.5135
0.6321 0.4776
0.6564 0.4417
0.6807 0.4070
0.7050 0.3743
0.7293 0.3440
0.7536 0.3164
0.7779 0.2917
0.8022 0.2701
0.8265 0.2516
0.8508 0.2364
0.8752 0.2246
0.8995 0.2161
0.9238 0.2110
0.9481 0.2093
