#K-Path          Energy    tot
# NKPTS & NBANDS:  99  48
# Band-Index    1
    2.06449    -14.393795    0.533
    2.10602    -14.452191    0.377
    2.14755    -14.524752    0.251
    2.18907    -14.610031    0.174
    2.23060    -14.705913    0.129
    2.27213    -14.810375    0.102
    2.31366    -14.921593    0.085
    2.35519    -15.037838    0.073
    2.39671    -15.157444    0.064
    2.43824    -15.278873    0.059
    2.47977    -15.400631    0.054
    2.52130    -15.521342    0.050
    2.56283    -15.639755    0.046
    2.60436    -15.754717    0.043
    2.64588    -15.865110    0.041
    2.68741    -15.970053    0.038
    2.72894    -16.068632    0.038
    2.77047    -16.160028    0.036
    2.81200    -16.243578    0.035
    2.85352    -16.318684    0.034
    2.89505    -16.384779    0.032
    2.93658    -16.441507    0.031
    2.97811    -16.488414    0.031
    3.01964    -16.525289    0.031
    3.06117    -16.551745    0.030
    3.10269    -16.567657    0.030
    3.14422    -16.572996    0.030

# Band-Index    3
    3.14422    -15.492243    0.514
    3.10269    -15.489604    0.515
    3.06117    -15.481400    0.515
    3.01964    -15.467969    0.518
    2.97811    -15.449245    0.520
    2.93658    -15.425299    0.525
    2.89505    -15.396345    0.529
    2.85352    -15.362593    0.536
    2.81200    -15.324276    0.541
    2.77047    -15.281683    0.549
    2.72894    -15.235110    0.557
    2.68741    -15.184911    0.567
    2.64588    -15.131428    0.576
    2.60436    -15.075215    0.588
    2.56283    -15.016644    0.598
    2.52130    -14.956251    0.610
    2.47977    -14.894536    0.622
    2.43824    -14.832048    0.634
    2.39671    -14.769361    0.645
    2.35519    -14.707087    0.653
    2.31366    -14.645802    0.660
    2.27213    -14.586078    0.659
    2.23060    -14.528393    0.649
    2.18907    -14.473053    0.619
    2.14755    -14.420058    0.553
    2.10602    -14.369067    0.439
    2.06449    -14.320036    0.289
    2.02296    -14.274644    0.164
    1.98143    -14.235728    0.084
    1.93990    -14.205305    0.040
    1.89838    -14.184066    0.015
    1.85685    -14.171820    0.003
    1.81532    -14.167924    0.000
    1.81532    -14.167924    0.000
    1.79456    -14.168837    0.001
    1.77379    -14.171506    0.003
    1.75303    -14.175813    0.007
    1.73226    -14.181624    0.012
    1.71150    -14.188801    0.017
    1.69074    -14.197211    0.025
    1.66997    -14.206701    0.031
    1.64921    -14.217129    0.041
    1.62844    -14.228347    0.051
    1.60768    -14.240206    0.062
    1.58692    -14.252555    0.074
    1.56615    -14.265256    0.087
