#K-Path          Energy    tot
# NKPTS & NBANDS:  99  48
# Band-Index    1
    3.10269    -16.567657    0.677
    3.14422    -16.572996    0.676

# Band-Index    3
    3.14422    -15.492243    0.174
    3.10269    -15.489604    0.174
    3.06117    -15.481400    0.174
    3.01964    -15.467969    0.172
    2.97811    -15.449245    0.171
    2.93658    -15.425299    0.169
    2.89505    -15.396345    0.167
    2.85352    -15.362593    0.165
    2.81200    -15.324276    0.162
    2.77047    -15.281683    0.160
    2.72894    -15.235110    0.157
    2.68741    -15.184911    0.153
    2.64588    -15.131428    0.148
    2.60436    -15.075215    0.143
    2.56283    -15.016644    0.139
    2.52130    -14.956251    0.134
    2.47977    -14.894536    0.129
    2.43824    -14.832048    0.124
    2.39671    -14.769361    0.120
    2.35519    -14.707087    0.118
    2.31366    -14.645802    0.120
    2.27213    -14.586078    0.126
    2.23060    -14.528393    0.143
    2.18907    -14.473053    0.178
    2.14755    -14.420058    0.245
    2.10602    -14.369067    0.361
    2.06449    -14.320036    0.507
    2.02296    -14.274644    0.629
    1.98143    -14.235728    0.707
    1.93990    -14.205305    0.750
    1.89838    -14.184066    0.774
    1.85685    -14.171820    0.785
    1.81532    -14.167924    0.789
    1.81532    -14.167924    0.789
    1.79456    -14.168837    0.789
    1.77379    -14.171506    0.786
    1.75303    -14.175813    0.782
    1.73226    -14.181624    0.778
    1.71150    -14.188801    0.772
    1.69074    -14.197211    0.765
    1.66997    -14.206701    0.757
    1.64921    -14.217129    0.748
    1.62844    -14.228347    0.739
    1.60768    -14.240206    0.727
    1.58692    -14.252555    0.716
    1.56615    -14.265256    0.703
    1.54539    -14.278168    0.688
    1.52462    -14.291157    0.674
    1.50386    -14.304096    0.658
    1.48309    -14.316866    0.640
    1.46233    -14.329355    0.623
    1.44157    -14.341459    0.605
    1.42080    -14.353086    0.587
    1.40004    -14.364153    0.570
    1.37927    -14.374584    0.554
    1.35851    -14.384309    0.536
    1.33775    -14.393274    0.521
    1.31698    -14.401421    0.507
    1.29622    -14.408710    0.495
    1.27545    -14.415099    0.482
    1.25469    -14.420557    0.473
    1.23393    -14.425054    0.465
    1.21316    -14.428571    0.460
    1.19240    -14.431088    0.455
    1.17163    -14.432591    0.451
    1.15087    -14.433085    0.451
    1.15087    -14.433085    0.451
    1.11490    -14.437287    0.431
    1.07894    -14.449475    0.376
    1.04297    -14.468471    0.302
    1.00701    -14.493044    0.234
    0.97104    -14.522391    0.184
    0.93508    -14.556039    0.150
    0.89912    -14.593629    0.132
    0.86315    -14.634743    0.122
    0.82719    -14.678899    0.118
    0.79122    -14.725587    0.116
    0.75526    -14.774246    0.119
    0.71929    -14.824338    0.122
    0.68333    -14.875304    0.126
    0.64736    -14.926609    0.130
    0.61140    -14.977770    0.135
    0.57543    -15.028340    0.139
    0.53947    -15.077881    0.143
    0.50350    -15.125942    0.147
    0.46754    -15.172184    0.151
    0.43158    -15.216291    0.154
    0.39561    -15.257854    0.158
    0.35965    -15.296687    0.161
    0.32368    -15.332501    0.163
    0.28772    -15.365106    0.165
    0.25175    -15.394305    0.167
    0.21579    -15.419934    0.169
    0.17982    -15.441848    0.171
    0.14386    -15.459859    0.172
    0.10789    -15.473944    0.173
    0.07193    -15.484070    0.174
    0.03596    -15.490258    0.174
    0.00000    -15.492243    0.174

# Band-Index    4
    0.00000    -15.143936    0.524
    0.03596    -15.142192    0.524
    0.07193    -15.136697    0.525
    0.10789    -15.127715    0.527
    0.14386    -15.115223    0.529
    0.17982    -15.099223    0.532
    0.21579    -15.079795    0.535
    0.25175    -15.057097    0.539
    0.28772    -15.031227    0.544
    0.32368    -15.002332    0.550
    0.35965    -14.970617    0.556
    0.39561    -14.936249    0.563
    0.43158    -14.899487    0.569
    0.46754    -14.860484    0.578
    0.50350    -14.819707    0.588
    0.53947    -14.777373    0.597
    0.57543    -14.733818    0.607
    0.61140    -14.689409    0.619
    0.64736    -14.644573    0.630
    0.68333    -14.599721    0.642
    0.71929    -14.555292    0.654
    0.75526    -14.511782    0.668
    0.79122    -14.469694    0.682
    0.82719    -14.429527    0.695
    0.86315    -14.391818    0.708
    0.89912    -14.357039    0.720
    0.93508    -14.325701    0.732
    0.97104    -14.298264    0.743
    1.00701    -14.275132    0.753
    1.04297    -14.256690    0.761
    1.07894    -14.243248    0.766
    1.11490    -14.235075    0.770
    1.15087    -14.232340    0.771
    1.15087    -14.232340    0.771
    1.17163    -14.231939    0.771
    1.19240    -14.230716    0.770
    1.21316    -14.228672    0.771
    1.23393    -14.225824    0.771
    1.25469    -14.222191    0.771
    1.27545    -14.217799    0.773
    1.29622    -14.212680    0.773
    1.31698    -14.206869    0.774
    1.33775    -14.200412    0.774
    1.35851    -14.193352    0.776
    1.37927    -14.185745    0.777
    1.40004    -14.177645    0.780
    1.42080    -14.169118    0.780
    1.44157    -14.160230    0.782
    1.46233    -14.151053    0.783
    1.48309    -14.141666    0.785
    1.50386    -14.132145    0.786
    1.52462    -14.122575    0.787
    1.54539    -14.113044    0.789
    1.56615    -14.103641    0.791
    1.58692    -14.094458    0.794
    1.60768    -14.085592    0.795
    1.62844    -14.077129    0.797
    1.64921    -14.069172    0.798
    1.66997    -14.061817    0.800
    1.69074    -14.055158    0.801
    1.71150    -14.049288    0.803
    1.73226    -14.044301    0.804
    1.75303    -14.040283    0.804
    1.77379    -14.037321    0.805
    1.79456    -14.035495    0.805
    1.81532    -14.034871    0.806
    1.81532    -14.034871    0.806
    1.85685    -14.037479    0.805
    1.89838    -14.045518    0.803
    1.93990    -14.059164    0.799
    1.98143    -14.078400    0.794
    2.02296    -14.103065    0.786
    2.06449    -14.132898    0.777
    2.10602    -14.167563    0.765
    2.14755    -14.206658    0.753
