 &plot nbnd=  34, nks=    61 /
            0.000000  0.000000  0.000000
  -62.623  -62.623  -38.364  -38.364  -35.932  -35.932  -35.778  -35.778  -15.845  -15.845
  -14.586  -14.586   -7.380   -7.380   -4.359   -4.359   -4.268   -4.268   -3.608   -3.608
   -3.244   -3.244   -3.192   -3.192   -1.845   -1.845    0.971    0.971    1.005    1.005
    1.183    1.183    1.234    1.234
            0.025000  0.014434  0.000000
  -62.623  -62.623  -38.364  -38.364  -35.932  -35.932  -35.779  -35.779  -15.836  -15.836
  -14.582  -14.582   -7.369   -7.369   -4.368   -4.368   -4.271   -4.271   -3.674   -3.674
   -3.241   -3.241   -3.159   -3.159   -1.848   -1.848    0.965    0.965    1.011    1.011
    1.162    1.162    1.216    1.216
            0.050000  0.028867  0.000000
  -62.622  -62.622  -38.366  -38.366  -35.933  -35.933  -35.784  -35.784  -15.808  -15.808
  -14.570  -14.570   -7.336   -7.336   -4.415   -4.415   -4.260   -4.260   -3.817   -3.816
   -3.281   -3.281   -3.064   -3.064   -1.860   -1.860    0.925    0.927    1.039    1.041
    1.104    1.104    1.176    1.177
            0.075000  0.043301  0.000000
  -62.621  -62.621  -38.369  -38.369  -35.934  -35.934  -35.791  -35.791  -15.762  -15.762
  -14.550  -14.550   -7.283   -7.283   -4.511   -4.511   -4.220   -4.220   -3.986   -3.986
   -3.353   -3.353   -2.970   -2.970   -1.882   -1.881    0.863    0.868    0.962    0.968
    1.106    1.110    1.153    1.157
            0.100000  0.057735  0.000000
  -62.620  -62.620  -38.374  -38.374  -35.936  -35.936  -35.801  -35.801  -15.698  -15.698
  -14.523  -14.523   -7.211   -7.211   -4.643   -4.642   -4.178   -4.177   -4.149   -4.149
   -3.448   -3.447   -2.900   -2.899   -1.918   -1.917    0.783    0.793    0.845    0.855
    1.047    1.048    1.244    1.245
            0.125000  0.072169  0.000000
  -62.618  -62.618  -38.379  -38.379  -35.939  -35.939  -35.813  -35.813  -15.618  -15.618
  -14.489  -14.488   -7.124   -7.124   -4.799   -4.799   -4.358   -4.358   -4.076   -4.076
   -3.559   -3.559   -2.862   -2.862   -1.971   -1.971    0.662    0.668    0.792    0.797
    0.971    0.972    1.359    1.360
            0.150000  0.086602  0.000000
  -62.616  -62.616  -38.385  -38.385  -35.943  -35.943  -35.827  -35.827  -15.522  -15.522
  -14.448  -14.447   -7.027   -7.027   -4.969   -4.969   -4.551   -4.550   -3.981   -3.980
   -3.682   -3.681   -2.863   -2.862   -2.047   -2.047    0.539    0.542    0.783    0.787
    0.888    0.889    1.486    1.486
            0.175000  0.101036  0.000000
  -62.613  -62.613  -38.392  -38.392  -35.949  -35.949  -35.840  -35.840  -15.413  -15.412
  -14.401  -14.400   -6.927   -6.927   -5.143   -5.143   -4.746   -4.745   -3.880   -3.875
   -3.808   -3.803   -2.898   -2.898   -2.146   -2.146    0.438    0.441    0.788    0.790
    0.831    0.832    1.616    1.616
            0.200000  0.115470  0.000000
  -62.610  -62.610  -38.400  -38.400  -35.956  -35.956  -35.853  -35.853  -15.291  -15.290
  -14.349  -14.348   -6.834   -6.834   -5.309   -5.309   -4.943   -4.942   -3.948   -3.947
   -3.749   -3.747   -2.963   -2.963   -2.264   -2.264    0.371    0.372    0.714    0.715
    0.893    0.894    1.745    1.745
            0.225000  0.129903  0.000000
  -62.607  -62.607  -38.409  -38.409  -35.966  -35.966  -35.865  -35.865  -15.158  -15.158
  -14.293  -14.292   -6.763   -6.763   -5.454   -5.453   -5.140   -5.139   -4.077   -4.077
   -3.624   -3.623   -3.049   -3.048   -2.393   -2.393    0.338    0.340    0.639    0.639
    0.995    0.997    1.869    1.869
            0.250000  0.144337  0.000000
  -62.604  -62.604  -38.417  -38.417  -35.978  -35.978  -35.874  -35.874  -15.018  -15.017
  -14.234  -14.233   -6.733   -6.733   -5.562   -5.561   -5.337   -5.334   -4.204   -4.203
   -3.494   -3.494   -3.144   -3.144   -2.520   -2.520    0.338    0.339    0.573    0.573
    1.122    1.124    1.983    1.983
            0.275000  0.158771  0.000000
  -62.601  -62.601  -38.426  -38.426  -35.992  -35.992  -35.882  -35.882  -14.873  -14.872
  -14.173  -14.172   -6.755   -6.755   -5.630   -5.626   -5.529   -5.524   -4.323   -4.323
   -3.367   -3.366   -3.241   -3.241   -2.631   -2.631    0.363    0.364    0.523    0.523
